review_text,rating,date,bank_name,source
it needs a timely update,5,2025-10-03,Bank of Abyssinia,google_play
"It does not show the name of the person who sent the money to request a receipt. This has become very difficult for us. When different people transfer the same amount to me from different banks, it is very difficult to identify the account or the name of the sender.",3,2025-10-01,Bank of Abyssinia,google_play
Like,5,2025-10-01,Bank of Abyssinia,google_play
I can't type my otp on it.,1,2025-10-01,Bank of Abyssinia,google_play
"most of bank apps in Ethiopia are linked with ethiopian phone number, I live in US permanently so when I open BoA account, I told them where I live and to link it with email address instead of phone # as ethio phone number is not working where I live, unfortunetly my fear appeared and now when I change my phone device, it send the code to the ethio number which is not with me now. so please when u develop bank apps consider the diaspora community to use ur apps",1,2025-10-01,Bank of Abyssinia,google_play
jaajja,4,2025-09-30,Bank of Abyssinia,google_play
I love this bank the best experience ever.,5,2025-09-28,Bank of Abyssinia,google_play
"Nothing has been improved, it doesn't work like the previous version.",1,2025-09-25,Bank of Abyssinia,google_play
easy and fast,5,2025-09-24,Bank of Abyssinia,google_play
Great,5,2025-09-20,Bank of Abyssinia,google_play
mobile banking,5,2025-09-19,Bank of Abyssinia,google_play
very good,5,2025-09-18,Bank of Abyssinia,google_play
😎,5,2025-09-18,Bank of Abyssinia,google_play
"need alot of connection, chooses device, very lug even when there is connection",1,2025-09-17,Bank of Abyssinia,google_play
On my ios it's perfect but on android it barley works and don't transfer and after a while it crushed and totally stopped working. Please fix the issue my beloved bank of abyssinia.,1,2025-09-15,Bank of Abyssinia,google_play
since the last update i can open the app crashes a lot and omg its being very slow opening and loading,2,2025-09-15,Bank of Abyssinia,google_play
none,5,2025-09-14,Bank of Abyssinia,google_play
good,2,2025-09-13,Bank of Abyssinia,google_play
good,5,2025-09-12,Bank of Abyssinia,google_play
very good app i ever used,5,2025-09-12,Bank of Abyssinia,google_play
its nice app especially the transaction limit is extended but We face that BoA m.banking app doesn't respond at the activation stage strictly at SMSNG mobile phone. please try this to make safe.,4,2025-09-11,Bank of Abyssinia,google_play
zedo,5,2025-09-11,Bank of Abyssinia,google_play
please open my mobile app,5,2025-09-10,Bank of Abyssinia,google_play
it doesn't open,1,2025-09-10,Bank of Abyssinia,google_play
Very Good,5,2025-09-09,Bank of Abyssinia,google_play
masha alla,5,2025-09-08,Bank of Abyssinia,google_play
Best banking transaction application in Ethiopia !,5,2025-09-05,Bank of Abyssinia,google_play
السلام عليكم ورحمة الله وبركاته ماشاء الله تبارك الرحمن هذا التطبيق ممتاز جدا,5,2025-09-04,Bank of Abyssinia,google_play
tamaam kamal,1,2025-09-04,Bank of Abyssinia,google_play
በጣም ሐሪፍ,5,2025-09-03,Bank of Abyssinia,google_play
great 👍,5,2025-09-02,Bank of Abyssinia,google_play
goof,4,2025-09-01,Bank of Abyssinia,google_play
absiniya banki,5,2025-08-29,Bank of Abyssinia,google_play
has issue after installation and i think it doesn't work with tecno common 30,1,2025-08-26,Bank of Abyssinia,google_play
One of the best in this business,5,2025-08-25,Bank of Abyssinia,google_play
Excellent,5,2025-08-20,Bank of Abyssinia,google_play
besat🥰,5,2025-08-19,Bank of Abyssinia,google_play
unlimited experience,5,2025-08-18,Bank of Abyssinia,google_play
"as bank, u should at least hire someone good at their job bc this a joke nowadays I can't even log in or even transfer without it crashing if u fix the app I will update this review I am counting on u boa update: so they atleast fixed it but as suggestion can u put password when in final step of sending money it will feel more secure that way",4,2025-08-17,Bank of Abyssinia,google_play
very nice mobile banking app my favourite,5,2025-08-16,Bank of Abyssinia,google_play
"it almost never boots up!!! and even if it did, it crashes immediately",1,2025-08-15,Bank of Abyssinia,google_play
best apps,5,2025-08-15,Bank of Abyssinia,google_play
the worst app ever to exist in a bank history,1,2025-08-15,Bank of Abyssinia,google_play
thank you,5,2025-08-14,Bank of Abyssinia,google_play
Best mobile app in the country,5,2025-08-14,Bank of Abyssinia,google_play
not fast,2,2025-08-12,Bank of Abyssinia,google_play
keeps freezing at the front page.,1,2025-08-10,Bank of Abyssinia,google_play
it is not working on redminote 11 pro+ pls fix it,1,2025-08-08,Bank of Abyssinia,google_play
abseniya bank app,5,2025-08-08,Bank of Abyssinia,google_play
good,5,2025-08-05,Bank of Abyssinia,google_play
yes goode app,5,2025-08-03,Bank of Abyssinia,google_play
Great App,5,2025-08-02,Bank of Abyssinia,google_play
1) Crashes repeatedly 2) Takes Century to Boot 3) Repeatedly requires Update which is very annoying. 4) It doesn't ask for Password for one step confirmation when transferring money. 5) Automatically stops music when the app is launched (it doesn't really matter just fyi) Overall this have to be the worst mobile banking app I have tried so far and should not be released with all these bugs & issues.,1,2025-08-02,Bank of Abyssinia,google_play
ረጀብነሱ,1,2025-07-31,Bank of Abyssinia,google_play
The Worst Mobile Banking App.,1,2025-07-31,Bank of Abyssinia,google_play
giod,5,2025-07-30,Bank of Abyssinia,google_play
best bank in ethiopia,5,2025-07-29,Bank of Abyssinia,google_play
waqayyoo,5,2025-07-28,Bank of Abyssinia,google_play
please is not working,2,2025-07-27,Bank of Abyssinia,google_play
nothing when I need to install the Apk it say that re-up date,5,2025-07-25,Bank of Abyssinia,google_play
I can log in from any where,5,2025-07-23,Bank of Abyssinia,google_play
😇,3,2025-07-21,Bank of Abyssinia,google_play
no proplem,5,2025-07-20,Bank of Abyssinia,google_play
👍👍👍,5,2025-07-20,Bank of Abyssinia,google_play
excellent app,5,2025-07-18,Bank of Abyssinia,google_play
good work,5,2025-07-15,Bank of Abyssinia,google_play
☹️,5,2025-07-15,Bank of Abyssinia,google_play
excellent,5,2025-07-14,Bank of Abyssinia,google_play
Great BoA,5,2025-07-14,Bank of Abyssinia,google_play
Good,5,2025-07-14,Bank of Abyssinia,google_play
Okay,4,2025-07-13,Bank of Abyssinia,google_play
not working,1,2025-07-12,Bank of Abyssinia,google_play
This App is Getting worse and worse with every update,2,2025-07-11,Bank of Abyssinia,google_play
ምርጥ ነው,1,2025-07-10,Bank of Abyssinia,google_play
nice,5,2025-07-10,Bank of Abyssinia,google_play
Best app,5,2025-07-08,Bank of Abyssinia,google_play
meku,5,2025-07-07,Bank of Abyssinia,google_play
nice,4,2025-07-04,Bank of Abyssinia,google_play
awasome app go a head,5,2025-07-04,Bank of Abyssinia,google_play
😎,5,2025-07-03,Bank of Abyssinia,google_play
it sucks as hell. it crashes most of the time and takes a long time to load .,1,2025-07-03,Bank of Abyssinia,google_play
"The App is nice and easy to use but after some time it crushed and said ""Error check your device connectivity"" please fix it",3,2025-07-02,Bank of Abyssinia,google_play
Easy and very nice app to load more than the previouse but in recent time some loading problem detected.,5,2025-07-01,Bank of Abyssinia,google_play
wow,5,2025-07-01,Bank of Abyssinia,google_play
"The worst MBA I have experienced, The app crush frequently and they take to long to fix the problem even more than a week.",1,2025-06-27,Bank of Abyssinia,google_play
amazing Banks App👌👌,3,2025-06-25,Bank of Abyssinia,google_play
goof,5,2025-06-25,Bank of Abyssinia,google_play
good App fore me,5,2025-06-25,Bank of Abyssinia,google_play
"very uninterested it's not working when the ""developer mode on"" i haven't off the developer options i preferred to uninstall your app .....",1,2025-06-24,Bank of Abyssinia,google_play
fantastic,5,2025-06-22,Bank of Abyssinia,google_play
👍,4,2025-06-21,Bank of Abyssinia,google_play
it's nice to use.,5,2025-06-21,Bank of Abyssinia,google_play
app doesn't start,1,2025-06-21,Bank of Abyssinia,google_play
Excellent application,5,2025-06-18,Bank of Abyssinia,google_play
its very bad app its very slow,1,2025-06-17,Bank of Abyssinia,google_play
ብዙዬ ሺዋየ በለጠ,1,2025-06-15,Bank of Abyssinia,google_play
good,1,2025-06-15,Bank of Abyssinia,google_play
Good job!,5,2025-06-13,Bank of Abyssinia,google_play
best financial app.,5,2025-06-12,Bank of Abyssinia,google_play
ቆንጆ ነው በርቱ,5,2025-06-11,Bank of Abyssinia,google_play
the worst app humans ever created,1,2025-06-09,Bank of Abyssinia,google_play
it's not working,3,2025-06-05,Bank of Abyssinia,google_play
"Hello, I’m facing a problem with the BOA Mobile app. Every time I enter my phone number and password, the app crashes and shows an error that says “BoaMobile closed because this app has a bug.” I tried updating, reinstalling, and clearing cache, but nothing worked. Please fix this bug in the next update. I really need access to my account. Thank you.",1,2025-06-03,Bank of Abyssinia,google_play
exceptional,5,2025-06-03,Bank of Abyssinia,google_play
BoA Mobile good bank,5,2025-06-02,Bank of Abyssinia,google_play
this is worest app 24/7 loading,1,2025-06-01,Bank of Abyssinia,google_play
BoA system is confartable,5,2025-06-01,Bank of Abyssinia,google_play
"this app, for me , is a waste of time. It doesn't work . I can't even long in, and it really piss me off. FIX THE PROBLEM",1,2025-05-27,Bank of Abyssinia,google_play
Good service.,3,2025-05-25,Bank of Abyssinia,google_play
the app crush frequently,1,2025-05-24,Bank of Abyssinia,google_play
good,5,2025-05-22,Bank of Abyssinia,google_play
You guys keeps getting worst,1,2025-05-22,Bank of Abyssinia,google_play
good,5,2025-05-21,Bank of Abyssinia,google_play
"This app is a joke. It crashes more than it works, takes forever to load, and half the features are just decorative at this point. Can’t log in, can’t transfer money, can’t even check my balance without it bugging out. To the developer: Are you actually trying to make this work, or is this some kind of social experiment to test our patience? Did you build this in your sleep? Because it definitely looks like it. If this is your idea of a functional app, maybe consider a different career path🙏",1,2025-05-21,Bank of Abyssinia,google_play
BoA,2,2025-05-20,Bank of Abyssinia,google_play
good,5,2025-05-20,Bank of Abyssinia,google_play
but not opening on android,4,2025-05-19,Bank of Abyssinia,google_play
Worst App ever. Totally unreliable. And it didn't work at all for the last 4 months.,1,2025-05-18,Bank of Abyssinia,google_play
amazing,5,2025-05-18,Bank of Abyssinia,google_play
excellent,5,2025-05-15,Bank of Abyssinia,google_play
"this app does no work on Samsung a51, it just gives a preview of the logo",1,2025-05-11,Bank of Abyssinia,google_play
nice,5,2025-05-10,Bank of Abyssinia,google_play
"i entered incorrect security question by mistake boa app lock pin forever, why is there no other options? ?? i contacted different branchs more then 4times but they didn't able to solve this issue .",5,2025-05-10,Bank of Abyssinia,google_play
Best app,5,2025-05-09,Bank of Abyssinia,google_play
liking this application good 👍,5,2025-05-07,Bank of Abyssinia,google_play
"This app future is good, but there is problems with apps to reset and activate it, which is difficult even to the branch staffs, and it takes too long times to active at the branch plus most of the time high expected failure of activation after process at the counter and OTP sent not work",1,2025-05-06,Bank of Abyssinia,google_play
good,5,2025-05-06,Bank of Abyssinia,google_play
good,5,2025-05-02,Bank of Abyssinia,google_play
good,4,2025-04-30,Bank of Abyssinia,google_play
good,4,2025-04-30,Bank of Abyssinia,google_play
wow,5,2025-04-28,Bank of Abyssinia,google_play
it's really good 👍,5,2025-04-23,Bank of Abyssinia,google_play
Bad app . it stuck when you open and noting WORKS.,1,2025-04-23,Bank of Abyssinia,google_play
"the app isn't working after it asked me the password it starts loading, but it doesn't open",3,2025-04-20,Bank of Abyssinia,google_play
Best,2,2025-04-19,Bank of Abyssinia,google_play
It keeps showing this pop up to turn off developer options even tho it's off! I had to turn on and then off to make it work! This is a horrible experience and needs a fix asap! Plus kinda slow.,1,2025-04-19,Bank of Abyssinia,google_play
yideg,1,2025-04-18,Bank of Abyssinia,google_play
great boa,5,2025-04-10,Bank of Abyssinia,google_play
Best,5,2025-04-10,Bank of Abyssinia,google_play
boa of mobile backing,5,2025-04-09,Bank of Abyssinia,google_play
nice,5,2025-04-09,Bank of Abyssinia,google_play
faster bank of Abissinya,5,2025-04-08,Bank of Abyssinia,google_play
