review_text,rating,date,bank_name,source
"All in One Super App with smooth navigation, transaction and lifestyle services",5,2025-11-14,Dashen Bank,google_play
Very nice App.,5,2025-11-14,Dashen Bank,google_play
system failure transfer to others account,2,2025-11-13,Dashen Bank,google_play
thank you,1,2025-11-13,Dashen Bank,google_play
"Only the UI/UX is good, but it doesn't function properly. It's a shame that a leading tech bank has such an app. Amole is far better.",1,2025-11-13,Dashen Bank,google_play
"excellent app. to use perfectlly to pay,transfer,tele airtime and so on.",5,2025-11-12,Dashen Bank,google_play
wow dashen bank super app,5,2025-11-12,Dashen Bank,google_play
"This so-called “Super App” is a complete disappointment. It’s confusing, slow, and full of glitches honestly, it feels like it was designed to test people’s patience, not to help them bank. Calling it “super” is a joke; it’s one of the most useless apps I’ve ever used.",1,2025-11-11,Dashen Bank,google_play
Best Mobile Banking App in Ethiopia .,5,2025-11-11,Dashen Bank,google_play
very nice app I have ever seen,5,2025-11-10,Dashen Bank,google_play
NASTY BANK . EVEN THE SUPPER APP IS NOT WORKING WELL. WHEN I AM CALLING THEM THEY ARE NOT RESPONSE . PLEASE DON'T USE THIS APP BECAUSE YOU WILL LOSS YOU TIME ;ENERGY AND EVERYTHING . HOPELESS Bank .,1,2025-11-10,Dashen Bank,google_play
it's good but is not fast,5,2025-11-09,Dashen Bank,google_play
your financial system must improved,4,2025-11-09,Dashen Bank,google_play
your service is too good,5,2025-11-09,Dashen Bank,google_play
good experience,5,2025-11-09,Dashen Bank,google_play
ok,5,2025-11-08,Dashen Bank,google_play
"Amazing app, 👏",5,2025-11-07,Dashen Bank,google_play
wooow,5,2025-11-07,Dashen Bank,google_play
ok,5,2025-11-07,Dashen Bank,google_play
Nice app,5,2025-11-07,Dashen Bank,google_play
best,5,2025-11-07,Dashen Bank,google_play
"easy to use, friendly",5,2025-11-06,Dashen Bank,google_play
"12yr more LC, UCP & ICC & loan",5,2025-11-06,Dashen Bank,google_play
"not attractive and friendly app. Check Awash, CBE apps",1,2025-11-06,Dashen Bank,google_play
amzing,5,2025-11-06,Dashen Bank,google_play
"The Dashen Super App is very impressive. It is fast, easy to use, and provides smooth access to all essential banking services. Money transfer, bill payment, balance check, and other features work efficiently without issues. The design is clean and user-friendly. Great step forward in digital banking — keep up the good work, Dashen Bank!",5,2025-11-05,Dashen Bank,google_play
betam kerfafa naw,1,2025-11-05,Dashen Bank,google_play
exceptional,5,2025-11-05,Dashen Bank,google_play
worst app ever,1,2025-11-05,Dashen Bank,google_play
"Dashen, always two step ahead.",5,2025-11-05,Dashen Bank,google_play
"Please try to fix the barrier between other banks specially with ""Commercial bank of Ethiopia""",3,2025-11-05,Dashen Bank,google_play
👍,5,2025-11-05,Dashen Bank,google_play
i am using,5,2025-11-05,Dashen Bank,google_play
It is a wonderful App developed by a local talent. It deserves an appreciation. It will continue to evolve with new exciting features.,5,2025-11-05,Dashen Bank,google_play
wonderful app,5,2025-11-05,Dashen Bank,google_play
"i love the app it features are perfect, but it asks to update too many times to activate your need to visit a nearest branch and that takes time. other than that the app is great I like it",5,2025-11-05,Dashen Bank,google_play
go ahead,5,2025-11-05,Dashen Bank,google_play
its supper,5,2025-11-04,Dashen Bank,google_play
Good,5,2025-11-04,Dashen Bank,google_play
it's so boring,1,2025-11-04,Dashen Bank,google_play
Dashen Bank Super App is the latest version of online banking system that is the gift from Dashen bank for us Thanks to Dashen,5,2025-11-04,Dashen Bank,google_play
"i rarely leave reviews, but this app truely deserves one.it's efficient ,secure , reliable and makes fanancial tasks effortless.definitely 5 stars for this exceptional app",5,2025-11-04,Dashen Bank,google_play
it has improved very much lately its working more and getting better but yet it is not fully fixed some time at night it doesn't work..i think the problem is it was launched too early.,3,2025-11-04,Dashen Bank,google_play
Amazing,5,2025-11-03,Dashen Bank,google_play
wow dashen bank,5,2025-11-03,Dashen Bank,google_play
ብዙ ነጉር ይቀረዋል ወደ አፑ ስገባ በጣም ይዘገያል ባጭሩ ቀርፋፋ ነው,4,2025-11-02,Dashen Bank,google_play
"I just updated my app to the latest version and I couldn't even see my balance, send money or do anything. It says service is unavailable and it will be fixed soon.",5,2025-11-01,Dashen Bank,google_play
it's too slow,1,2025-11-01,Dashen Bank,google_play
"Before the recent update, this app was great. Now, the home page is cluttered with promotions and banners, which really hurts the experience. I think the app stopped being banking app and started only to promote b/c 95% of the app is only ads, also full of bugs",1,2025-11-01,Dashen Bank,google_play
"This might be the worst banking app I've ever used I dont know why kind of bug it is but suddenly the apps stops working it says ""Temporarily unavailable"" for a simple feature like viewing account balance and in person visit was no help it took them longer than 2 hours to fix it and even after that 2 weeks later the same problem just because of this I'm going to stop using the bank altogether which is a shame because it's a decent bank",1,2025-11-01,Dashen Bank,google_play
Nice app,5,2025-11-01,Dashen Bank,google_play
The worst app ever. Extremely unreliable. Such a shame for a big bank.,1,2025-10-31,Dashen Bank,google_play
app is too slow not opening fast,1,2025-10-31,Dashen Bank,google_play
good,5,2025-10-30,Dashen Bank,google_play
"it's seems to have some improvements, I don't know what's going on with this app sometimes get collapseed. This is not expected from Dashen bank, which is amongst from famous and greatest banks.",1,2025-10-30,Dashen Bank,google_play
very nise good,5,2025-10-30,Dashen Bank,google_play
very interesting,5,2025-10-30,Dashen Bank,google_play
what your emplyees tell as about the app when they came to our store and what actually the app is different,1,2025-10-30,Dashen Bank,google_play
Excellent promotion,5,2025-10-30,Dashen Bank,google_play
viry good,5,2025-10-29,Dashen Bank,google_play
"Dashen Bank Super App is incredibly convenient! Easy to use, fast, and reliable – a great app to manage everything in one place.",5,2025-10-29,Dashen Bank,google_play
it is the worst app ever istg 🤮🤮🤮,1,2025-10-29,Dashen Bank,google_play
"Dashen Super App is a game-changer with its sleek, user-friendly interface. Lightning-fast responses and seamless navigation make every task a breeze. Love the organized layout and clear features that save time daily. Fantastic work—highly recommended for effortless banking!",5,2025-10-28,Dashen Bank,google_play
"The design is clean and modern, and everything works smoothly without bugs. I love how reliable the app is it makes banking so convenient.",5,2025-10-28,Dashen Bank,google_play
"A true banking super app! The Dashen Super App combines great design, security, and an impressive range of features. Highly recommended for anyone looking for a complete digital banking experience.",5,2025-10-28,Dashen Bank,google_play
"​I appreciate that this app allowed me to access multiple services in one centralized place. Thank you, Dashen Bank!",5,2025-10-28,Dashen Bank,google_play
"This app makes my day-to-day payments so easy. Everything works perfectly, and it saves me a lot of time.",5,2025-10-28,Dashen Bank,google_play
It’s impressive how consistently the app is improving. I’ve been using it for months and they have improved a lot in terms of not only beauty but also performance wise.,5,2025-10-28,Dashen Bank,google_play
This app has replaced several others for me. It has everything I need in one place.,5,2025-10-28,Dashen Bank,google_play
"The app has evolved impressively over time. The latest release adds dark and light modes that enhance usability and design. It’s intuitive, modern, and clearly built with the user in mind — setting a new benchmark for digital banking.",5,2025-10-28,Dashen Bank,google_play
"Dashen superapp just keeps improving. The new theme options are beautiful, and the overall experience is faster and smoother than ever",5,2025-10-28,Dashen Bank,google_play
I have been using this app for months and its easy to use and is user friendly thanks Dashen bank.,5,2025-10-28,Dashen Bank,google_play
"Finally, banking made simple! Everything I need is in one super app. A true game changer for managing my finances on the go.",5,2025-10-28,Dashen Bank,google_play
"I’ve been using the the App, and it’s been working really well for my daily transactions. Good work 👌",5,2025-10-28,Dashen Bank,google_play
"I appreciate how secure this app feels. Every transaction comes with confirmation, and I always get alerts immediately.",5,2025-10-28,Dashen Bank,google_play
I love the new dark theme it gives the app modern feel n make it more comfortable to use,5,2025-10-28,Dashen Bank,google_play
"This is amazing app, as it name ,truly supper.",5,2025-10-28,Dashen Bank,google_play
This is one of the most user friendly and impressive apps I have encountered in the banking sector,5,2025-10-28,Dashen Bank,google_play
"Amazing UI and UX, the dark mode looks absolutely awesome!",5,2025-10-28,Dashen Bank,google_play
The updated design looks amazing. I really appreciate being able to switch between dark and light mode it’s a small change that makes a big difference!,5,2025-10-28,Dashen Bank,google_play
Astonishing interface with ease of access and complete performance,5,2025-10-28,Dashen Bank,google_play
"I rarely leave reviews, but this app truly deserves one. It’s efficient, secure, and makes financial tasks effortless. Definitely a 5-star experience",5,2025-10-28,Dashen Bank,google_play
stunning UI with reliable service!,5,2025-10-28,Dashen Bank,google_play
"Super Up is the ultimate digital banking app, living up to its name with speed, efficiency, and innovation. Designed for a seamless experience, it offers lightning-fast transactions, top-tier security, and effortless financial management. With Super Up, banking has never been this smooth, smart, and super!",5,2025-10-27,Dashen Bank,google_play
