model,topic_id,word,weight
NMF,0,easy,0.07619785049189577
NMF,0,dashen_super,0.06897144500500312
NMF,0,cbe,0.04540503256105844
NMF,0,ever_seen,0.04055477268210766
NMF,0,job,0.030127187277811603
NMF,1,nice,2.3039316800273584
NMF,1,easy,0.07979413292699926
NMF,1,transaction,0.05968212653496399
NMF,1,ever_seen,0.04198640028274213
NMF,1,useful,0.03716251686905359
NMF,1,check,0.023532293911706175
NMF,1,please_fix,0.02254173793165632
NMF,1,history,0.02190674657208004
NMF,1,recent,0.02153206641664289
NMF,1,add,0.02056871430140028
NMF,2,work,1.1590672795026746
NMF,2,working,0.7880221636041715
NMF,2,fast,0.6891715411786552
NMF,2,time,0.6157851398720472
NMF,2,slow,0.614246657611786
NMF,2,update,0.5964589314665607
NMF,2,please,0.5028782292840475
NMF,2,service,0.4272704211829377
NMF,2,need,0.4215909130319581
NMF,2,cbe,0.3422766296324951
NMF,3,like,1.7852721775062792
NMF,3,service,0.0937002763860914
NMF,3,mode,0.06105475564493684
NMF,3,version,0.05803089537868861
NMF,3,useful,0.050450229298926556
NMF,3,help,0.05036656770343315
NMF,3,full,0.04806251449166209
NMF,3,worst,0.04778607022091557
NMF,3,still,0.04523562922413739
NMF,3,perfect,0.045043953636008834
NMF,4,great,1.3590050522634889
NMF,4,amazing,0.6174365364541213
NMF,4,boa,0.4358798217570786
NMF,4,easy,0.17095612970151747
NMF,4,wow,0.16780657095778884
NMF,4,love,0.14651191591527332
NMF,4,ethiopia,0.08794347873214327
NMF,4,dashen,0.059984705979245136
NMF,4,user_friendly,0.059322820888506836
NMF,4,service,0.058926171758195166
TF-IDF,overall,best,54.664855363433205
TF-IDF,overall,nice,32.236409966486605
TF-IDF,overall,work,29.020148560968625
TF-IDF,overall,like,25.837282487922288
TF-IDF,overall,time,21.59151847608487
TF-IDF,overall,update,20.858662307080795
TF-IDF,overall,working,20.254699669274075
TF-IDF,overall,easy,20.146681081836142
TF-IDF,overall,amazing,19.96305886378992
TF-IDF,overall,great,19.846685347345737
TF-IDF,overall,fast,18.669721596390918
TF-IDF,overall,cbe,18.531072819497094
TF-IDF,overall,service,17.78347007078435
TF-IDF,overall,need,17.286370564465482
TF-IDF,overall,excellent,16.531050875303034
TF-IDF,overall,slow,15.893259058934543
TF-IDF,overall,boa,15.630711769113734
TF-IDF,overall,please,15.469609463564657
TF-IDF,overall,transaction,15.006950009887305
TF-IDF,overall,dashen,14.694401115890914
TF-IDF,Commercial Bank of Ethiopia,best,17.321230579658817
TF-IDF,Commercial Bank of Ethiopia,cbe,15.237855939492825
TF-IDF,Commercial Bank of Ethiopia,nice,12.012202225584689
