review,rating,date,bank,source
I am not able to transfer. The app is not responding,1,2025-11-11,Commercial Bank of Ethiopia,google_play
Very convenient App,5,2025-11-11,Commercial Bank of Ethiopia,google_play
excellent but sometimes can not connect,5,2025-11-10,Commercial Bank of Ethiopia,google_play
wow apk,5,2025-11-10,Commercial Bank of Ethiopia,google_play
best 100 %,5,2025-11-10,Commercial Bank of Ethiopia,google_play
bad app,1,2025-11-10,Commercial Bank of Ethiopia,google_play
best app,5,2025-11-10,Commercial Bank of Ethiopia,google_play
nice app,5,2025-11-10,Commercial Bank of Ethiopia,google_play
the app constantly glitches and won't stop loading despite having a decent connection and a cleared cache. telebirr is way better,1,2025-11-10,Commercial Bank of Ethiopia,google_play
I can't access it properly I think it needs update,1,2025-11-10,Commercial Bank of Ethiopia,google_play
best ,5,2025-11-10,Commercial Bank of Ethiopia,google_play
not Refresh,2,2025-11-10,Commercial Bank of Ethiopia,google_play
your statement is not used as wanted,1,2025-11-10,Commercial Bank of Ethiopia,google_play
good very good,5,2025-11-09,Commercial Bank of Ethiopia,google_play
this is absolute trash why because it's not Woking most time the servers are down even though I'm using 4g data Internet they steal not working they use to work with out even data package now it's trash can't even send money,1,2025-11-09,Commercial Bank of Ethiopia,google_play
Bayeee galatooma kana caalati nu gammachisa ,5,2025-11-08,Commercial Bank of Ethiopia,google_play
Good !,5,2025-11-08,Commercial Bank of Ethiopia,google_play
i like it,5,2025-11-08,Commercial Bank of Ethiopia,google_play
Very nice app,5,2025-11-08,Commercial Bank of Ethiopia,google_play
the app is not functional this week.,4,2025-11-08,Commercial Bank of Ethiopia,google_play
very updated bank,5,2025-11-06,Commercial Bank of Ethiopia,google_play
tankyu,5,2025-11-05,Commercial Bank of Ethiopia,google_play
Numbers 2 and 3 don't write during pin verification.,5,2025-11-05,Commercial Bank of Ethiopia,google_play
"once it is uninstalled, you need to visit a nearby bank. you go there and they ask you to have a new sim card which hasn't been used before. so you should buy a new sim card and you go back to them with a new sim card, when you reach there service provider says authentication pin is not arrive, the system is not working come back tomorrow.",1,2025-11-05,Commercial Bank of Ethiopia,google_play
loved it,5,2025-11-05,Commercial Bank of Ethiopia,google_play
this app is not working on my phone,5,2025-11-03,Commercial Bank of Ethiopia,google_play
CBE needs to show transaction fees before the transaction is confirmed and not after. This is a big issue as fees are no longer insignificant.,3,2025-11-03,Commercial Bank of Ethiopia,google_play
"After the recent updates, I am unable to download a receipt. I can't see the names of account holders I've previously transacted with. Very important. Please fix it asap.",1,2025-11-03,Commercial Bank of Ethiopia,google_play
wow ,4,2025-11-02,Commercial Bank of Ethiopia,google_play
mobile banking broblem,5,2025-11-01,Commercial Bank of Ethiopia,google_play
good job,5,2025-11-01,Commercial Bank of Ethiopia,google_play
it is a good and clear apps to use,4,2025-10-31,Commercial Bank of Ethiopia,google_play
      5   11   ,1,2025-10-31,Commercial Bank of Ethiopia,google_play
I love this app b/c every option in the app very clear and supportive.,5,2025-10-30,Commercial Bank of Ethiopia,google_play
niiceh,5,2025-10-29,Commercial Bank of Ethiopia,google_play
the app is good but their is no dark mode you have to add it,3,2025-10-29,Commercial Bank of Ethiopia,google_play
abdulakim abrahim elemoo,5,2025-10-29,Commercial Bank of Ethiopia,google_play
strong,5,2025-10-28,Commercial Bank of Ethiopia,google_play
Abebaw Zenebe,5,2025-10-28,Commercial Bank of Ethiopia,google_play
good I love it keep it up but if we had a new update that will be fire Soo good,5,2025-10-27,Commercial Bank of Ethiopia,google_play
Cbe,5,2025-10-27,Commercial Bank of Ethiopia,google_play
Active and granted system,5,2025-10-27,Commercial Bank of Ethiopia,google_play
fast app,4,2025-10-27,Commercial Bank of Ethiopia,google_play
cool ,5,2025-10-27,Commercial Bank of Ethiopia,google_play
Galaxy A10s,3,2025-10-26,Commercial Bank of Ethiopia,google_play
the best apps,5,2025-10-26,Commercial Bank of Ethiopia,google_play
arif app new,5,2025-10-26,Commercial Bank of Ethiopia,google_play
laga Bari biranch,5,2025-10-26,Commercial Bank of Ethiopia,google_play
I would like to suggest you improve the time out as it takes the money and doesn't return it back until the next day.,3,2025-10-25,Commercial Bank of Ethiopia,google_play
Attractive,5,2025-10-25,Commercial Bank of Ethiopia,google_play
mite,5,2025-10-24,Commercial Bank of Ethiopia,google_play
useful,5,2025-10-24,Commercial Bank of Ethiopia,google_play
"not good, not bad!",3,2025-10-23,Commercial Bank of Ethiopia,google_play
very good,5,2025-10-23,Commercial Bank of Ethiopia,google_play
               100 10             ampsa      ,1,2025-10-22,Commercial Bank of Ethiopia,google_play
imp,5,2025-10-22,Commercial Bank of Ethiopia,google_play
super fast app,5,2025-10-21,Commercial Bank of Ethiopia,google_play
"The app has a nice design and useful features like balance check and transfers, but its unstable and often fails to connect. It also forces users to turn off Developer Options, which is unnecessary  other banking apps work fine without that. Many people use Developer Mode for normal reasons. Please fix performance issues, remove this restriction, and add biometric login for better security and convenience",2,2025-10-19,Commercial Bank of Ethiopia,google_play
cbe,4,2025-10-18,Commercial Bank of Ethiopia,google_play
"it says ""ti is work any more in your device"" what can i do??",1,2025-10-18,Commercial Bank of Ethiopia,google_play
blah blah blah,5,2025-10-18,Commercial Bank of Ethiopia,google_play
bad  ,1,2025-10-17,Commercial Bank of Ethiopia,google_play
CBE no.1,5,2025-10-17,Commercial Bank of Ethiopia,google_play
